0.0937,0.139771,0.062774,0.007698,0.083873,-0.119156,0.073305,0.00551,0.027523,0.043477,-0.024946,0.061221,0.147377,0.082805,-0.011043,-0.001974,-0.147627,0.123673,0.005631,0.030659,0.005683,0.053414,0.069935,0.033555,0.105394,-0.013519,0.119103,-0.057485,-0.02878,0.144546,0.101353,0.024763,0.011344,0.057414,-0.104664,-0.01905,-0.113221,-0.209969,-0.107153,0.417066,0.047501,-0.198307,-0.235089,0.138778,-0.224982,-0.154866,-0.320172,-0.027004,0.057681,0.052144,-0.033012,-0.013225,0.03099,0.017338,-0.108284,-0.034352,0.156367,0.138615,-0.068087,0.061809,0.027936,0.068643,0.05846,-0.113733,-0.05492,-0.103299,0.016608,-0.066824,0.032705,-0.064818,0.009862,-0.088176,-0.018139,-0.034046,-0.098636,-0.174344,-0.070711,-0.081028,0.105889,-0.004947,-0.039124,-0.007124,0.017693,-0.068304,-0.021874,-0.011525,-0.029076,0.026808,-0.043047,0.01163,0.008882,-0.012356,-0.052636,0.039048,-0.018712,-0.034711,-0.038675,-0.039102,0.017429,-0.052659,-0.042402,0.118473,0.125632,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-0.022711,-0.050504,-0.035691,-0.065434,-0.084316,-0.37856,0.038212,0.08577,0.182613,-0.055544,0.029267,0.042597,-0.107352,0.019207,0.047062,-0.027285,0.175346,-0.103701,0.012758,0.058121,-0.060435,0.073053,0.046101,-0.039845,0.028614,0.130573,-0.011646,-0.138608,0.072822,-0.008652,-0.092463,-0.018793,0.028554,0.014002,0.047983,0.049252,0.191805,0.212651,0.145249,0.076901,0.053658,0.154458,0.248496,0.068352,0.123677,0.164888,0.197602,-0.15312,0.081864,-0.046774,-0.083049,-0.144057,-0.114471,0.141713,-0.125378,-0.118576,0.062961,0.004938,-0.131732,-0.126509,-0.11461,-0.196691,-0.150347,-0.123543,0.112761,0.091208,-0.026511,-0.102305,-0.053916,-0.010635,0.045735,-0.063597,0.070186,-0.190914,0.081178,0.009809,0.08159,0.017657,-0.041264,-0.010627,-0.023341,0.018021,-0.03204,-0.070248,-0.008586,-0.013087,0.006237,-0.035943,-0.022597,-0.044843,-0.042019,-0.003376,0.004003,-0.001198,0.030594,-0.021814,0.01043,-0.013809,-0.009248,-0.027318,-0.014191,0.022783,0.123785,0,0,0,0,0,0,1,1,0,0,0,1,1,0
-0.090407,0.021198,0.208712,0.102752,0.119315,0.041729,-0.021728,0.019603,-0.063853,-0.053756,0.078468,0.130276,0.082742,-0.041696,-0.028589,0.008653,-0.107325,-0.136729,-0.190598,-0.153106,-0.096053,-0.032872,-0.008912,0.042825,0.075615,-0.006747,-0.087992,-0.089286,-0.078429,-0.206253,-0.06361,-0.067006,-0.079174,0.08842,0.094088,-0.091405,-0.102339,-0.121139,-0.072064,0.028891,-0.022034,-0.117818,-0.163186,-0.070304,-0.02419,-0.069693,-0.063769,-0.102171,0.244773,0.019784,0.119325,0.131574,0.092791,-0.007334,-0.0514,-0.135605,0.189083,0.149773,-0.00134,-0.010066,-0.01515,0.022039,0.018996,0.02435,-0.068483,-0.019367,-0.041733,-0.012279,0.030127,0.099046,0.014989,0.021737,-0.00193,-0.084954,-0.053804,0.020816,-0.010783,-0.007941,0.080493,-0.082171,-0.099567,-0.080164,0.315935,-0.125758,-0.096519,-0.097738,0.255025,-0.064278,-0.057198,0.131774,0.20093,-0.067795,-0.103332,0.195777,0.022294,0.012583,0.002233,-0.002072,-0.010981,0.007615,-0.063378,-0.084181,-0.034402,0,1,1,0,0,0,0,0,0,0,0,1,1,0
-0.085235,0.00954,-0.013228,0.094063,-0.013592,-0.030719,-0.116062,-0.131674,-0.165448,-0.123053,-0.088342,-0.01067,0.03059,0.120052,0.129741,0.105897,0.022556,0.009029,-0.177667,0.124952,-0.089325,-0.035157,-0.07145,0.006351,0.066697,0.015784,-0.007242,-0.027891,-0.062685,0.072125,0.069402,-0.131082,-0.066887,0.034905,0.075313,-0.020978,-0.091263,-0.141892,-0.07549,-0.135369,-0.088199,-0.045918,-0.099689,-0.044783,-0.031824,-0.098713,-0.062554,-0.027798,0.310988,0.263012,0.190109,0.186226,0.164881,0.033452,-0.076333,-0.114431,0.168268,0.212873,-0.078229,-0.192929,-0.216668,-0.161762,-0.070497,-0.011651,-0.009148,0.041755,-0.066939,-0.091154,0.044621,-0.085647,0.073582,0.135058,0.088751,0.042412,-0.023512,-0.026704,-0.088072,-0.09761,-0.01257,-0.04356,-0.068257,-0.057833,-0.023624,-0.026421,0.002439,0.032469,-0.01428,-0.038554,-0.046454,0.052214,0.0437,0.041239,-0.080285,0.001189,-0.066241,-0.046999,-0.066604,-0.055773,-0.041941,0.051066,0.004976,0.193972,0.131866,0,0,1,1,0,0,0,0,0,0,0,1,1,1
-0.088765,-0.026743,0.002075,-0.043819,-0.005465,0.004306,-0.055865,-0.071484,-0.159025,-0.111348,-0.113015,-0.151546,-0.224416,-0.193918,-0.097713,-0.07879,-0.045703,0.06153,0.168146,-0.059478,-0.092706,-0.027548,-0.106203,-0.16519,-0.056432,-0.074915,-0.108129,-0.093601,-0.031025,-0.032656,-0.017192,-0.077063,0.074747,0.021375,0.04637,0.144823,0.136922,0.093619,0.127604,-0.027046,0.016699,0.083308,0.146126,-0.11431,0.099127,0.172123,0.129233,-0.10834,-0.010501,-0.021395,-0.045906,-0.063453,-0.038186,-0.026359,-0.067818,-0.063814,0.059776,0.039048,0.018951,0.097114,0.115435,0.068602,0.02103,0.151896,-0.056538,0.040907,0.031162,-0.018328,0.062078,0.112963,0.125981,-0.01044,-0.012351,0.10397,-0.078637,-0.17938,-0.019896,-0.101195,0.025472,-0.067447,-0.06083,-0.037247,0.12084,-0.009208,-0.079342,0.014329,0.044347,-0.01838,-0.02929,0.435292,0.227508,-0.064453,-0.086068,-0.035045,-0.080882,0.028468,-0.073576,0.05063,0.084832,-0.01957,-0.02165,-0.068326,-0.091155,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0.052386,-0.077969,-0.065555,-0.044628,-0.005428,0.120818,0.05185,0.072627,0.107119,0.034214,0.067433,-0.029847,0.027771,0.021908,0.094492,-0.04784,0.147065,0.057258,-0.043474,0.008304,0.065342,0.15192,0.14633,0.126685,0.108004,0.003682,-0.10259,-0.045072,0.069206,-0.144914,-0.117997,-0.047917,0.160414,0.136549,0.128623,0.069006,0.115433,0.096516,0.09194,0.009588,-0.026117,0.095037,0.106031,-0.024506,0.052489,-0.005813,0.02194,0.037595,-0.135902,-0.006678,0.06672,0.137763,0.104452,-0.140193,0.129945,0.118898,-0.196866,-0.089355,-0.078424,-0.259081,-0.195734,-0.14646,-0.096603,-0.088308,0.068828,-0.029264,-0.137665,-0.105992,0.080809,-0.083838,0.070824,0.056158,0.137137,0.116886,0.013375,-0.094458,-0.063497,-0.152482,-0.123877,0.157478,0.148612,-0.080593,-0.060001,-0.090023,-0.053539,-0.034536,-0.057809,-0.070593,-0.065779,-0.087139,-0.07519,-0.064415,0.0551,-0.056235,0.187005,-0.053345,0.16263,0.141881,-0.055852,-0.075871,-0.066165,-0.027733,0.069023,0,0,1,1,0,0,0,0,0,0,0,1,1,0
-0.162278,-0.052898,-0.046867,0.021493,0.008256,0.050265,-0.136019,0.035562,-0.035445,-0.068137,-0.03787,0.028775,-0.042031,0.044432,-0.050701,0.073501,-0.027172,-0.027689,-0.024394,-0.041555,-0.00781,0.007018,0.048403,0.080653,0.102821,0.045775,-0.081117,-0.044513,0.03073,-0.068802,-0.110333,-0.016293,-0.071873,-0.060156,-0.076687,-0.039928,-0.133369,-0.090244,-0.078462,0.045131,-0.049021,-0.131799,-0.036237,-0.04062,-0.138492,-0.034116,-0.098581,-0.005884,-0.023192,0.177599,0.261496,0.360915,0.383512,-0.272634,0.331931,0.282645,0.059466,0.023957,-0.060703,-0.053721,-0.036122,0.017319,-0.001871,-0.011123,-0.030922,-0.040481,-0.024076,-0.096894,-0.10288,-0.101694,-0.048135,-0.047519,-0.021443,-0.031768,-0.144504,-0.036042,-0.091571,-0.059946,-0.050698,0.000398,-0.000478,-0.034003,-0.031488,-0.052184,0.046635,0.014233,-0.013748,-0.041015,-0.023085,-0.030011,-0.017608,-0.009052,-0.044182,-0.008475,0.0011,-0.02091,-0.026951,-0.025185,-0.010242,-0.043862,0.000845,0.027959,0.148911,0,1,1,0,0,0,0,0,0,0,0,0,0,0
-0.075051,-0.062277,0.21707,0.250216,0.068413,0.001721,-0.076456,-0.094136,-0.182685,0.012269,0.017489,0.240197,0.08313,0.012974,-0.114525,-0.134255,-0.093569,0.120725,-0.162748,-0.110791,-0.087714,-0.047852,0.083136,0.147651,0.036988,0.084427,-0.00072,0.035344,-0.006824,-0.001742,-0.124659,-0.029986,0.063394,0.134137,0.136837,-0.115401,-0.082469,-0.06966,0.0778,-0.004661,0.006162,-0.074088,-0.124836,-0.082608,0.024928,-0.032986,-0.061597,-0.057366,0.152899,0.11609,0.044575,-0.051774,-0.069912,0.031931,-0.091538,-0.253377,0.144834,0.09325,0.201212,0.045137,0.119227,0.060643,0.119119,0.031349,-0.041749,-0.030204,-0.045571,-0.060934,-0.0357,0.057485,-0.000694,0.038117,-0.03456,-0.109145,-0.150443,-0.024357,0.018748,-0.088351,-0.06111,0.106341,-0.032067,-0.058611,0.029574,-0.030036,-0.051697,-0.095401,-0.094246,-0.096185,-0.080166,0.160409,0.150892,-0.001781,-0.087852,0.259371,-0.043679,-0.090142,-0.03578,-0.008356,-0.012736,-0.024237,0.115505,-0.045204,0.05681,0,1,1,0,1,1,0,0,0,0,0,1,1,0
0.014962,0.063235,-0.001107,0.06586,-0.032007,0.054317,-0.048934,0.030914,0.037152,0.09808,0.031204,-0.011976,0.028459,0.09424,0.085284,0.076948,0.078229,0.061816,0.029768,0.127625,0.077246,0.126932,0.154284,0.236175,0.286082,0.195274,0.134736,0.145761,0.192855,0.076786,0.092686,0.111541,-0.053933,-0.037243,-0.02143,0.028945,0.058595,0.042474,0.027818,-0.012685,-0.024291,0.019428,0.035098,0.028886,-0.021919,-0.048649,-0.026917,0.152689,-0.199086,-0.149925,-0.140182,-0.076868,-0.025962,0.002969,0.014732,0.177852,-0.193826,-0.169752,0.108025,-0.013452,-0.136132,-0.109703,-0.011653,-0.014075,0.070832,-0.020272,-0.003503,-0.076686,0.066636,-0.019048,-0.079316,-0.043694,0.007598,0.001063,-0.056198,0.055314,0.055101,-0.068629,-0.157913,0.154016,0.199956,-0.046323,-0.06108,-0.112708,-0.094742,-0.067176,-0.053205,-0.06443,-0.019024,-0.099374,-0.10292,-0.086575,0.168098,-0.036707,0.175065,-0.044181,0.155784,0.145528,-0.092101,-0.091829,-0.030881,-0.067027,0.037952,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0.087604,0.032477,0.143112,0.150504,0.167052,0.060122,-0.085561,0.052064,0.079,-0.102476,0.147377,-0.231194,-0.002659,-0.031625,0.117188,0.035232,-0.066568,-0.223777,0.124004,-0.045312,-0.066325,0.063285,-0.070605,-0.183374,-0.186547,-0.089348,-0.163819,-0.142892,-0.010336,-0.013723,-0.053904,-0.060413,0.003657,0.011617,-0.00181,0.129309,0.088059,0.111973,0.090355,0.128783,0.105131,0.117891,0.169931,-0.06074,0.105549,0.000733,0.164562,0.010964,0.022288,-0.061916,0.018924,-0.012548,-0.018059,0.02089,0.186683,0.073402,-0.060998,-0.090732,-0.026211,0.004719,-0.033654,-0.127819,-0.139351,-0.193803,0.192734,0.190585,0.116886,0.212732,-0.040079,-0.004876,-0.179774,-0.225822,0.002947,-0.075055,-0.101318,-0.016438,0.074689,-0.008832,-0.138042,0.076661,-0.023069,-0.039969,-0.003591,-0.05114,0.024971,-0.003227,-0.013085,-0.03406,-0.019509,-0.038997,-0.019972,0.004505,-0.034814,-0.009283,-0.0095,-0.019867,-0.023227,-0.023772,-0.013518,-0.036442,0.01175,0.030499,0.116244,0,1,1,0,1,1,1,1,0,0,0,1,1,0
